address,phones,email,website
"Calle Generación 4329196 Málaga (Ciudad), Málaga","650357850,650357850",antonioariasrubio11@gmail.com,https://frutasadamo.com/
"C/ Cadiretes, 2 bajos17320 Tossa de Mar, Girona",,info@juicegarage.es,https://www.sucs.es/
"RONDA SANT PERE 52,08010 Barcelona (Ciudad), Barcelona",,dagosamarketing@gmail.com,https://dagosamarketing.com/
"C/ Profesor Beltrán Baguena 446009 Valencia (Ciudad), Valencia",633618289,comercial@agroiberian.com,https://agroiberian.com/
"Vélez Málaga29700 Vélez-Málaga, Málaga",671145750,,https://podemar-promociones.es/
"Polig. Ind. Huertas Nuevas nave 1421720 Rociana del Condado, Huelva",638291296,mariagutierrezm@rocfruit.es,https://rocfruit.es/
"Calle Impresores 2328906 Getafe, Madrid",622716301,ventas@dimai.store,https://dimai.store/
"Mercamadrid-Plataforma Baja- Parcela B 3.328053 Madrid (Ciudad), Madrid",917796600,pedidos.mad@chefmaestro.es,https://www.chefmaestro.es/
"Carrer d'Ausiàs Marc, 6508010 Barcelona (Ciudad), Barcelona",626150476,hola@frooty.es,https://frooty.es/
"ctra Mijas km 3,529650 Mijas, Málaga",952471542,atencionalcliente@aldemsa.com,https://www.aldemsa.com/
"Crta. Villaverde a Vallecas km 3,800 Nave B, Puestos 19 a 27. Mercamadrid. 28053  Madrid (Ciudad), Madrid",917858595,belen.martinez@olivarhoreca.com,https://frutasolivar.com/
"C/Eje 6 28053 Madrid (Ciudad), Madrid",683476234,ugc@chef-fruit.com,https://chef-fruit.com/
"Calle Barcelona, 341500 Alcalá de Guadaira, Sevilla",955682976,rrss@bernardoherrera.com,https://bernardoherrera.com/
"Ctra. Aeropuerto, km. 4,607817 Salines (Ses), Islas Baleares",971395619,info@iborrahnos.com,https://iborrahnos.com/
"Mercasevilla nave 2 puesto 45,41020 Sevilla (Ciudad), Sevilla",954673424,info@frutiban.com,https://www.frutiban.com/
"C/ Labrador, 47. Polígono Pagusa41007 Sevilla (Ciudad), Sevilla","954417158,615187204",info@frutascuevas.es,https://www.frutascuevas.es/
"Ctra Xabia, Km 38, Bloque 1103740 Gata de Gorgos, Alicante",670539079,info@frutaslinda.com,https://www.frutaslinda.com/
"B .Rull Canaves 15 ( oficina)07460 Pollença, Islas Baleares",971533364,servifruits@gmail.com,https://servifruits.com/
"AVDA. VILLARRASA, 1321720 Rociana del Condado, Huelva",666439807,javierduran@eonubafruit.com,https://www.eonubafruit.es/es/
"Calle longitudinal 7 nº 13608040 Hospitalet de Llobregat (L'), Barcelona","662193440,935564338",escofruit@gmail.com,https://escofruit.com/
"sectoir oficios 3028760 Tres Cantos, Madrid",918032078,info@frutaslave.es,https://www.frutaslave.com/
"Mártires, 19102630 La Roda, Albacete",967440175,info@frutaslaroda.com,https://frutaslaroda.com/
"Calle del sol 146210 Picanya, Valencia",692853805,info@comenaranjas.com,https://paprik.es/
"Bolivia 9, Planta Baja, Bancas 2-828016 Madrid (Ciudad), Madrid",914571625,info@frutascharito.es,https://frutascharito.es/
"Plataforma Baja, Beta 828050 Madrid (Ciudad), Madrid",626361460,joseluis@comefruta.es,https://comefruta.es/
"Mercamadrid nave E Puestos 50 - 52 y 5428053 Madrid (Ciudad), Madrid","618383987,917862660",comercial@mvillaverde.com,https://mvillaverde.com/
"La Estrategia 10 Pol. Ind Los Olivos28906 Getafe, Madrid",916017228,administracion@frutaslogrono.com,https://www.frutaslogrono.com/
"C/ Carare 2, 3ºB28033 Madrid (Ciudad), Madrid",609100690,ferjusanz@hotmail.com,https://www.ferjusanz-frutas-verduras.es/
"C/Silvia Munt 528521 Rivas-Vaciamadrid, Madrid",614379099,nuevahuertahome@gmail.com,https://lanuevahuerta.es/
"C/ Murias 22, Fuenlabrada28947 Fuenlabrada, Madrid",658278278,koifresh2023@gmail.com,https://youcofruit.com/
"PLAZA CUPIDO, 3, 1º, D33790 Corvera de Asturias, Asturias",659616368,info@xsm.es,https://www.xsm.es/
"C/Manel Brunet 1008500 Vic, Barcelona",608163500,lluiscrigi@gmail.com,https://www.patatescrivillers.com/
"Av Valencia, 312596 Torreblanca, Castellón",964420664,hola@citrifresc.es,https://citrifresc.es/
"Calle Pablo Picasso  04746 Almería (Ciudad), Almería",950343673,administracion@frutasrocalla.com,http://www.frutasrocalla.com/
"Mercasevilla Carretera Málaga-Granada, S/N41020 Sevilla (Ciudad), Sevilla",954516779,frutasc150@gmail.com,https://frutascalero.com/
"Avenida de la Envía, 6, Apto. 7, planta 2, de Vícar04727  Almería (Ciudad), Almería",,sumagourmet1@gmail.com,https://summagourmet.es/
"Passatge Coll Vall Polig 1, 6244587 Fuentespalda, Teruel",645501372,seansitges@gmail.com,http://dayshiq.com/
"c/ Corella s/n31500 Tudela, Navarra",948820641,tienda@jomer.es,https://www.jomer.es/
"Av Los Llanos, s/n, Parc 1523640 Jaén (Ciudad), Jaén",693808740,reduan@newgreenhorizon.com,https://www.newgreenhorizon.com/
"aseo de la Hispanidad Nave 50 – Torre 4 29130 Alhaurín de la Torre, Málaga",952622081,comunicacion@hermanosgallego.es,https://grupogallego.es/
"C/ Fray Gabriel de San Antonio, 3419180 Marchamalo, Guadalajara",949107776,info@vegaalcarrena.com,https://vegaalcarrena.com/
"Mercado Central, Nave B, P. 5-1328053 Madrid (Ciudad), Madrid",917856195,comercial@palaciosroca.com,https://palaciosroca.com/
"Ctra de las Planas km817151 Girona (Ciudad), Girona",647367869,info@fredjove.es,https://www.fredjove.es/
"Isidoro De sevilla 1628003 San Sebastián de los Reyes, Madrid",620206000,infomercasolnorte@gmail.com,https://www.alcobendasmercasol.com/
"Avda. Los Castaños, 53 Urb. El Chorrico. PO BOX 356  30500 Molina de Segura, Murcia",968642736,susanofoods@gmail.com,https://susanofoods.com/
"Polígono Industrial de Abanilla30640 Abanilla, Murcia",634528399,info@nuestrafruta.com,https://nuestrafruta.com/
"C/Eduardo Iglesias, Nº8 Entp36202 Vigo, Pontevedra","693622006,986013229",info@maribaimport.com,https://www.maribaimport.com/
"calle luis I.5528031 Madrid (Ciudad), Madrid",915267737,contacto@supertomate.es,https://supertomate.es/
"Mercasevilla nave 2 puesto 45,41020 Sevilla (Ciudad), Sevilla",,info@frutiban.com,https://www.frutiban.com/
"Pol.Ind. Los Torraos  C/Asturias, 9B30562 Murcia (Ciudad), Murcia",,info@difrusol.com,https://www.difrusol.com/
"Calle resina 33 nave 1128021 Madrid (Ciudad), Madrid",605844917,josechu@frutasrosi.com,https://frutasrosi.es/
"CALLE MARIE CURIE, BAJO46920 Mislata, Valencia",697253848,info@interfresh.es,https://www.interfresh.es/
